"Source:","D:\9. noveno semestre\embebidos\esquematico_ESP32_version2.0\esp32_2.kicad_sch"
"Date:","5/16/2022 10:44:34 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","33"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","compra"
"","","Boot/flash1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQQ2","~",""
"","","C1","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C2","1nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C3","1nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C4","100u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","C_in_50V_470","470u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x6.9","~",""
"","","C_out_35v1","220u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x6.9","~",""
"","","Cabeza1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~",""
"","","CFF1","1nf","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"","","D1","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~",""
"","","D1SMD1"," 1N5825","pspice:DIODE","Diode_SMD:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder","~",""
"","","D2","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","https://articulo.mercadolibre.com.co/MCO-638946948-diodo-led-smd-1206-x-5-unidades-_JM?searchVariation=88912430079#searchVariation=88912430079&position=43&search_layout=stack&type=item&tracking_id=d4231f3d-9e3d-4e5a-af3b-f00ddaa8a1b0"
"","","D3","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","https://articulo.mercadolibre.com.co/MCO-638946948-diodo-led-smd-1206-x-5-unidades-_JM?searchVariation=88912430079#searchVariation=88912430079&position=43&search_layout=stack&type=item&tracking_id=d4231f3d-9e3d-4e5a-af3b-f00ddaa8a1b0"
"","","ESP32","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf",""
"","","ESPALDA1","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~",""
"","","L1_SMD1","68u","Device:L","Inductor_SMD:L_Wuerth_HCM-1390","~",""
"","","M_der1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~",""
"","","M_izq1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~",""
"","","N_batt1","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"","","P_Batt1","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"","","P_der1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~",""
"","","P_izq1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~",""
"","","Programador1","Programador","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~",""
"","","R15","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R16","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R17","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R18","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R19","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","R20","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"","","Reset1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQQ2","~",""
"","","RV1","R_Potentiometer_Trim","Device:R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~",""
"","","SW1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~",""
"","","U1","LM2596S-5","Regulator_Switching:LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","compra"
"1","2","Boot/flash1, Reset1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQQ2","~",""
"2","1","C1","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"3","2","C2, C3","1nF/50V","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"4","1","C4","100u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"5","1","C_in_50V_470","470u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x6.9","~",""
"6","1","C_out_35v1","220u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x6.9","~",""
"7","5","Cabeza1, M_der1, M_izq1, P_der1, P_izq1","RJ45","Connector:RJ45","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","~",""
"8","1","CFF1","1nf","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"9","3","D1, D2, D3","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","https://articulo.mercadolibre.com.co/MCO-638946948-diodo-led-smd-1206-x-5-unidades-_JM?searchVariation=88912430079#searchVariation=88912430079&position=43&search_layout=stack&type=item&tracking_id=d4231f3d-9e3d-4e5a-af3b-f00ddaa8a1b0"
"10","1","D1SMD1"," 1N5825","pspice:DIODE","Diode_SMD:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder","~",""
"11","1","ESP32","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf",""
"12","1","ESPALDA1","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~",""
"13","1","L1_SMD1","68u","Device:L","Inductor_SMD:L_Wuerth_HCM-1390","~",""
"14","2","N_batt1, P_Batt1","Conn_01x01_Female","Connector:Conn_01x01_Female","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~",""
"15","1","Programador1","Programador","Connector:Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~",""
"16","5","R15, R16, R17, R18, R19","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"17","1","R20","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"18","1","RV1","R_Potentiometer_Trim","Device:R_Potentiometer_Trim","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~",""
"19","1","SW1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm","~",""
"20","1","U1","LM2596S-5","Regulator_Switching:LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf",""
